index,latitud,longitud,distrito,etapa,tipo,dormitorios,area,precio,Restaurants_Count,Restaurants_Lat,Restaurants_Lon,Fast Food_Count,Fast Food_Lat,Fast Food_Lon,Universities_Count,Universities_Lat,Universities_Lon,Schools_Count,Schools_Lat,Schools_Lon,Kindergartens_Count,Kindergartens_Lat,Kindergartens_Lon,Hospitals_Count,Hospitals_Lat,Hospitals_Lon,Pharmacies_Count,Pharmacies_Lat,Pharmacies_Lon,Clinics_Count,Clinics_Lat,Clinics_Lon,Malls_Count,Malls_Lat,Malls_Lon,Supermarkets_Count,Supermarkets_Lat,Supermarkets_Lon,Banks_Count,Banks_Lat,Banks_Lon,Fitness Centres_Count,Fitness Centres_Lat,Fitness Centres_Lon,Swimming Pools_Count,Swimming Pools_Lat,Swimming Pools_Lon,Parks_Count,Parks_Lat,Parks_Lon,Bus Stops_Count,Bus Stops_Lat,Bus Stops_Lon
ZENHAUS (Tipo 4),-12.0897795,-77.02657649999999,Lince,Entrega inmediata,flat,3,71.12,531000.0,69,-12.0888159,-77.0275443,4,-12.0942386,-77.0253448,0,0,0,12,-12.0853328,-77.030534,17,-12.08905,-77.02764,0,0,0,18,-12.0967601,-77.0233281,4,-12.082536,-77.0233183,0,0,0,3,-12.0967852,-77.0230856,26,-12.0930391,-77.0334285,0,0,0,0,0,0,0,0,0,35,-12.0824136,-77.0265799
NUOVA VITA (101),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,2,68.8,529000.0,68,-12.0789386,-77.0490825,9,-12.0726808,-77.050183,1,-12.0721191,-77.0435112,27,-12.07593,-77.04146,27,-12.0768349,-77.0453794,1,-12.071483,-77.0498354,30,-12.0869422,-77.0422038,8,-12.0772823,-77.0384851,1,-12.0759995,-77.0499813,1,-12.074458,-77.0492501,15,-12.0739331,-77.0486323,2,-12.0735357,-77.0505589,0,0,0,0,0,0,8,-12.075003,-77.0459627
NUOVA VITA (102),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,79.93,614000.0,68,-12.0789386,-77.0490825,9,-12.0726808,-77.050183,1,-12.0721191,-77.0435112,27,-12.07593,-77.04146,27,-12.0768349,-77.0453794,1,-12.071483,-77.0498354,30,-12.0869422,-77.0422038,8,-12.0772823,-77.0384851,1,-12.0759995,-77.0499813,1,-12.074458,-77.0492501,15,-12.0739331,-77.0486323,2,-12.0735357,-77.0505589,0,0,0,0,0,0,8,-12.075003,-77.0459627
NUOVA VITA (103),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,129.05,894000.0,68,-12.0789386,-77.0490825,9,-12.0726808,-77.050183,1,-12.0721191,-77.0435112,27,-12.07593,-77.04146,27,-12.0768349,-77.0453794,1,-12.071483,-77.0498354,30,-12.0869422,-77.0422038,8,-12.0772823,-77.0384851,1,-12.0759995,-77.0499813,1,-12.074458,-77.0492501,15,-12.0739331,-77.0486323,2,-12.0735357,-77.0505589,0,0,0,0,0,0,8,-12.075003,-77.0459627
NUOVA VITA (104),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,134.95,924000.0,68,-12.0789386,-77.0490825,9,-12.0726808,-77.050183,1,-12.0721191,-77.0435112,27,-12.07593,-77.04146,27,-12.0768349,-77.0453794,1,-12.071483,-77.0498354,30,-12.0869422,-77.0422038,8,-12.0772823,-77.0384851,1,-12.0759995,-77.0499813,1,-12.074458,-77.0492501,15,-12.0739331,-77.0486323,2,-12.0735357,-77.0505589,0,0,0,0,0,0,8,-12.075003,-77.0459627
NUOVA VITA (X01),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,76.13,552000.0,68,-12.0789386,-77.0490825,9,-12.0726808,-77.050183,1,-12.0721191,-77.0435112,27,-12.07593,-77.04146,27,-12.0768349,-77.0453794,1,-12.071483,-77.0498354,30,-12.0869422,-77.0422038,8,-12.0772823,-77.0384851,1,-12.0759995,-77.0499813,1,-12.074458,-77.0492501,15,-12.0739331,-77.0486323,2,-12.0735357,-77.0505589,0,0,0,0,0,0,8,-12.075003,-77.0459627
NUOVA VITA (X02),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,2,61.0,472000.0,68,-12.0789386,-77.0490825,9,-12.0726808,-77.050183,1,-12.0721191,-77.0435112,27,-12.07593,-77.04146,27,-12.0768349,-77.0453794,1,-12.071483,-77.0498354,30,-12.0869422,-77.0422038,8,-12.0772823,-77.0384851,1,-12.0759995,-77.0499813,1,-12.074458,-77.0492501,15,-12.0739331,-77.0486323,2,-12.0735357,-77.0505589,0,0,0,0,0,0,8,-12.075003,-77.0459627
NUOVA VITA (X03),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,76.84,552000.0,68,-12.0789386,-77.0490825,9,-12.0726808,-77.050183,1,-12.0721191,-77.0435112,27,-12.07593,-77.04146,27,-12.0768349,-77.0453794,1,-12.071483,-77.0498354,30,-12.0869422,-77.0422038,8,-12.0772823,-77.0384851,1,-12.0759995,-77.0499813,1,-12.074458,-77.0492501,15,-12.0739331,-77.0486323,2,-12.0735357,-77.0505589,0,0,0,0,0,0,8,-12.075003,-77.0459627
NUOVA VITA (X04),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,70.6,521000.0,68,-12.0789386,-77.0490825,9,-12.0726808,-77.050183,1,-12.0721191,-77.0435112,27,-12.07593,-77.04146,27,-12.0768349,-77.0453794,1,-12.071483,-77.0498354,30,-12.0869422,-77.0422038,8,-12.0772823,-77.0384851,1,-12.0759995,-77.0499813,1,-12.074458,-77.0492501,15,-12.0739331,-77.0486323,2,-12.0735357,-77.0505589,0,0,0,0,0,0,8,-12.075003,-77.0459627
NUOVA VITA (X05),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,70.6,521000.0,68,-12.0789386,-77.0490825,9,-12.0726808,-77.050183,1,-12.0721191,-77.0435112,27,-12.07593,-77.04146,27,-12.0768349,-77.0453794,1,-12.071483,-77.0498354,30,-12.0869422,-77.0422038,8,-12.0772823,-77.0384851,1,-12.0759995,-77.0499813,1,-12.074458,-77.0492501,15,-12.0739331,-77.0486323,2,-12.0735357,-77.0505589,0,0,0,0,0,0,8,-12.075003,-77.0459627
