link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 1,Pisos: Entre 3 al 16,2,60.23 m2,"S/ 501,916"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 2,Pisos: Entre 2 al 16,3,67.80 m2,"S/ 614,844"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 3,Pisos: Entre 4 al 16,3,67.80 m2,"S/ 602,667"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 4,Pisos: Entre 2 al 16,2,60.07 m2,"S/ 588,888"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 5,Pisos: Entre 3 al 16,2,60.37 m2,"S/ 536,622"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 6,Pisos: Entre 2 al 16,1,51.65 m2,"S/ 460,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 7,"Pisos: 2, 7, 8, 11, 14",1,51.28 m2,"S/ 430,083"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 8,Pisos: Entre 3 al 16,3,64.45 m2,"S/ 537,083"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 9,Pisos: Entre 2 al 12,2,60.12 m2,"S/ 418,417"
