index,latitud,longitud,distrito,etapa,tipo,dormitorios,area,precio
ZENHAUS (Tipo 4),-12.0897795,-77.02657649999999,Lince,Entrega inmediata,flat,3,71.12,531000.0
NUOVA VITA (101),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,2,68.8,529000.0
NUOVA VITA (102),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,79.93,614000.0
NUOVA VITA (103),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,129.05,894000.0
NUOVA VITA (104),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,134.95,924000.0
NUOVA VITA (X01),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,76.13,552000.0
NUOVA VITA (X02),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,2,61.0,472000.0
NUOVA VITA (X03),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,76.84,552000.0
NUOVA VITA (X04),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,70.6,521000.0
NUOVA VITA (X05),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,70.6,521000.0
NUOVA VITA (701),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,duplex,3,148.36,999000.0
NUOVA VITA (702),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,duplex,3,131.95,949000.0
NUOVA VITA (703),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,duplex,3,147.68,999000.0
NUOVA VITA (704),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,duplex,4,135.96,929000.0
NUOVA VITA (705),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,duplex,4,135.96,929000.0
VITTORIE (TIPO F),-12.1195549,-77.0041086,Surquillo,En construcción,flat,3,70.0,484000.0
VITTORIE (TIPO G),-12.1195549,-77.0041086,Surquillo,En construcción,flat,2,53.0,370000.0
MALVA (1),-12.076928,-77.0549693,Jesus Maria,Entrega inmediata,flat,2,67.0,488077.0
MALVA (2),-12.076928,-77.0549693,Jesus Maria,Entrega inmediata,flat,3,88.12,650054.0
MALVA (3),-12.076928,-77.0549693,Jesus Maria,Entrega inmediata,flat,3,77.7,537486.0
MALVA (6),-12.076928,-77.0549693,Jesus Maria,Entrega inmediata,flat,3,76.78,521804.0
MALVA (7),-12.076928,-77.0549693,Jesus Maria,Entrega inmediata,flat,3,78.0,522664.0
MALVA (8),-12.076928,-77.0549693,Jesus Maria,Entrega inmediata,flat,2,66.38,445220.0
MALVA (5B),-12.076928,-77.0549693,Jesus Maria,Entrega inmediata,flat,2,60.33,422341.0
Patio La Paz (A15),-12.079547136588465,-77.10609539017598,San Miguel,En planos,flat,2,77.58,378508.0
Patio La Paz (A4),-12.079547136588465,-77.10609539017598,San Miguel,En planos,flat,3,75.28,398708.0
Patio La Paz (A7),-12.079547136588465,-77.10609539017598,San Miguel,En planos,flat,3,68.83,363004.0
Patio La Paz (A7A),-12.079547136588465,-77.10609539017598,San Miguel,En planos,flat,3,86.2,412565.0
Patio La Paz (A9),-12.079547136588465,-77.10609539017598,San Miguel,En planos,flat,1,40.21,248292.0
Patio La Paz (B11),-12.079547136588465,-77.10609539017598,San Miguel,En planos,flat,2,58.82,301858.0
Patio La Paz (B5),-12.079547136588465,-77.10609539017598,San Miguel,En planos,flat,2,57.19,306028.0
Sevilla (4),-12.106246107262274,-77.03081131426016,Miraflores,Entrega inmediata,flat,1,60.04,627231.0
Sevilla (5),-12.106246107262274,-77.03081131426016,Miraflores,Entrega inmediata,flat,2,82.5,782582.0
Sevilla (6),-12.106246107262274,-77.03081131426016,Miraflores,Entrega inmediata,flat,1,60.11,743557.0
Sevilla (2),-12.106246107262274,-77.03081131426016,Miraflores,Entrega inmediata,flat,1,60.25,603177.0
Sevilla (12),-12.106246107262274,-77.03081131426016,Miraflores,Entrega inmediata,flat,3,147.87,1073257.0
Sevilla (14),-12.106246107262274,-77.03081131426016,Miraflores,Entrega inmediata,duplex,2,84.45,801793.0
SUMA LOS GERANIOS 124 (TIPO 3 FAMILY),-12.0908465,-77.0292675,Lince,En planos,flat,2,69.88,584803.0
SUMA LOS GERANIOS 124 (TIPO 2: DUO),-12.0908465,-77.0292675,Lince,En planos,flat,1,46.65,384863.0
SUMA LOS GERANIOS 124 (TIPO 1:SINGLE),-12.0908465,-77.0292675,Lince,En planos,flat,1,45.35,355431.0
Brezzo Chariarse 885 (DUPLEX 3),-12.12737784085293,-77.01825836016292,Miraflores,Entrega inmediata,duplex,3,218.91,1492900.0
Liv 385 (Tipo 1),-12.12495086848081,-77.02245205033186,Miraflores,Entrega inmediata,flat,3,208.43,1262505.0
Liv 385 (Tipo 3),-12.12495086848081,-77.02245205033186,Miraflores,Entrega inmediata,flat,3,140.36,1026716.25
Villamar 131 (1D - 08),-12.081937885215352,-77.10400013326037,San Miguel,Entrega inmediata,flat,1,43.45,266901.0
Villamar 131 (1D - 01),-12.081937885215352,-77.10400013326037,San Miguel,Entrega inmediata,flat,1,45.43,220177.0
Villamar 131 (3D - 07),-12.081937885215352,-77.10400013326037,San Miguel,Entrega inmediata,flat,3,71.67,479026.0
Villamar 131 (3D - 03),-12.081937885215352,-77.10400013326037,San Miguel,Entrega inmediata,flat,3,72.12,398000.0
Villamar 131 (3D - 14),-12.081937885215352,-77.10400013326037,San Miguel,Entrega inmediata,flat,3,79.52,545914.0
Villamar 131 (DÚPLEX 9),-12.081937885215352,-77.10400013326037,San Miguel,Entrega inmediata,duplex,3,155.19,878936.0
GALLERY (TIPO 1),-12.0953578,-77.0536753,San Isidro,Entrega inmediata,flat,3,118.18,959887.0
GALLERY (TIPO 11),-12.0953578,-77.0536753,San Isidro,Entrega inmediata,flat,3,90.69,726653.0
GALLERY (TIPO 3),-12.0953578,-77.0536753,San Isidro,Entrega inmediata,flat,2,97.37,876363.0
GALLERY (TIPO 4),-12.0953578,-77.0536753,San Isidro,Entrega inmediata,flat,2,151.15,984420.0
GALLERY (TIPO 5),-12.0953578,-77.0536753,San Isidro,Entrega inmediata,flat,1,109.16,680741.0
GALLERY (TIPO 6),-12.0953578,-77.0536753,San Isidro,Entrega inmediata,flat,1,73.82,583538.0
GALLERY (TIPO 7),-12.0953578,-77.0536753,San Isidro,Entrega inmediata,flat,1,72.63,597891.0
GALLERY (TIPO 8),-12.0953578,-77.0536753,San Isidro,Entrega inmediata,flat,1,71.52,596604.0
GALLERY (TIPO DUPLEX 5),-12.0953578,-77.0536753,San Isidro,Entrega inmediata,duplex,1,120.69,828067.0
GALLERY (TIPO DUPLEX 7),-12.0953578,-77.0536753,San Isidro,Entrega inmediata,duplex,1,144.94,904045.0
SB NORTE 1189 (TIPO 1),-12.093442,-76.9926012,San Borja,Entrega inmediata,flat,3,96.92,829900.0
SB NORTE 1189 (TIPO 2),-12.093442,-76.9926012,San Borja,Entrega inmediata,flat,3,97.44,860152.0
Escallonia (ESC-102),-12.0841535,-77.0496504,Jesus Maria,En construcción,flat,3,54.91,413046.0
Escallonia (ESC-805),-12.0841535,-77.0496504,Jesus Maria,En construcción,duplex,2,122.21,841235.0
SANTORIN (TIPO 5),-12.1225475,-77.0239038,Miraflores,Entrega inmediata,flat,2,81.0,690000.0
SANTORIN (TIPO 4C),-12.1225475,-77.0239038,Miraflores,Entrega inmediata,duplex,2,118.0,930000.0
SIENA (6),-12.0896074,-77.04695,Lince,Entrega inmediata,flat,2,95.03,823198.0
La Paz 742 (Torre B Flat 104),-12.125733337745602,-77.02700591773834,Miraflores,Entrega inmediata,flat,2,102.0,879750.0
La Paz 742 (Torre A Dúplex 504),-12.125733337745602,-77.02700591773834,Miraflores,Entrega inmediata,duplex,2,84.0,724500.0
MALECÓN BUENOS AIRES (1),-12.1289619,-77.0340605,Miraflores,Entrega inmediata,flat,3,122.0,1256250.0
Los Bambúes 125 (TIPO A),-12.075326942193248,-77.07395068908144,Pueblo Libre,En planos,flat,1,44.0,266000.0
Los Bambúes 125 (TIPO B),-12.075326942193248,-77.07395068908144,Pueblo Libre,En planos,flat,2,59.0,365000.0
Los Bambúes 125 (TIPO C),-12.075326942193248,-77.07395068908144,Pueblo Libre,En planos,duplex,3,77.0,468000.0
Los Bambúes 125 (TIPO D),-12.075326942193248,-77.07395068908144,Pueblo Libre,En planos,duplex,3,97.0,596600.0
Anturio (ANT SS01),-12.0904655,-77.03665360000001,Lince,En construcción,flat,3,132.43,1285818.75
Anturio (ANT SS02),-12.0904655,-77.03665360000001,Lince,En construcción,flat,1,78.94,658511.25
Anturio (ANT SS03),-12.0904655,-77.03665360000001,Lince,En construcción,flat,3,131.8,1150593.75
Anturio (ANT 101),-12.0904655,-77.03665360000001,Lince,En construcción,flat,3,103.9,1080693.75
Anturio (ANT 102),-12.0904655,-77.03665360000001,Lince,En construcción,flat,1,70.5,763721.25
Anturio (ANT X3),-12.0904655,-77.03665360000001,Lince,En construcción,flat,2,79.62,821287.5
Anturio (ANT X4),-12.0904655,-77.03665360000001,Lince,En construcción,flat,2,80.09,825633.75
Anturio (ANT X01A),-12.0904655,-77.03665360000001,Lince,En construcción,flat,3,104.89,1083630.0
Anturio (ANT X01B),-12.0904655,-77.03665360000001,Lince,En construcción,flat,3,104.57,1081560.0
Anturio (ANT X02B),-12.0904655,-77.03665360000001,Lince,En construcción,flat,3,104.81,1083870.0
Anturio (ANT 701),-12.0904655,-77.03665360000001,Lince,En construcción,duplex,3,198.47,1887333.75
Anturio (ANT 702),-12.0904655,-77.03665360000001,Lince,En construcción,duplex,3,198.9,1890123.75
MAR D´AMALFI (A 1),-12.1216006,-77.0205299,Miraflores,En construcción,flat,3,183.3,1282500.0
MAR D´AMALFI (A 2),-12.1216006,-77.0205299,Miraflores,En construcción,flat,2,158.6,1100812.5
MAR D´AMALFI (A 3),-12.1216006,-77.0205299,Miraflores,En construcción,flat,2,126.1,1033125.0
MAR D´AMALFI (A 4),-12.1216006,-77.0205299,Miraflores,En construcción,flat,3,127.9,1111500.0
MAR D´AMALFI (A 5),-12.1216006,-77.0205299,Miraflores,En construcción,flat,2,83.4,673312.5
MAR D´AMALFI (B 1),-12.1216006,-77.0205299,Miraflores,En construcción,flat,3,133.3,1161375.0
MAR D´AMALFI (B 2),-12.1216006,-77.0205299,Miraflores,En construcción,flat,3,131.1,1140000.0
MAR D´AMALFI (B 3),-12.1216006,-77.0205299,Miraflores,En construcción,flat,2,92.0,765937.5
MAR D´AMALFI (B 4),-12.1216006,-77.0205299,Miraflores,En construcción,flat,2,89.3,744562.5
MAR D´AMALFI (C 1),-12.1216006,-77.0205299,Miraflores,En construcción,flat,2,90.2,762375.0
MAR D´AMALFI (C2),-12.1216006,-77.0205299,Miraflores,En construcción,flat,1,93.3,790875.0
MAR D´AMALFI (E 1),-12.1216006,-77.0205299,Miraflores,En construcción,duplex,3,185.1,1458750.0
MAR D´AMALFI (E 4),-12.1216006,-77.0205299,Miraflores,En construcción,duplex,3,236.2,1571062.5
MAR D´AMALFI (E 5),-12.1216006,-77.0205299,Miraflores,En construcción,duplex,3,218.5,1485562.5
La Foret - San Felipe (LF-2-X10B),-12.082678,-77.0500825,Jesus Maria,En construcción,flat,3,73.3,524157.0
La Foret - San Felipe (LF-1-X07),-12.082678,-77.0500825,Jesus Maria,En construcción,flat,2,65.52,460601.0
La Foret - San Felipe (LF-2-X01),-12.082678,-77.0500825,Jesus Maria,En construcción,flat,2,67.26,478297.0
La Foret - San Felipe (LF-2-X04),-12.082678,-77.0500825,Jesus Maria,En construcción,flat,2,56.96,399348.0
La Foret - San Felipe (LF-2-X05),-12.082678,-77.0500825,Jesus Maria,En construcción,flat,1,42.3,305008.0
La Foret - San Felipe (LF-2-X06),-12.082678,-77.0500825,Jesus Maria,En construcción,flat,1,43.83,320400.0
La Foret - San Felipe (LF-2-X07),-12.082678,-77.0500825,Jesus Maria,En construcción,flat,1,43.95,319981.0
La Foret - San Felipe (LF-2-X10A),-12.082678,-77.0500825,Jesus Maria,En construcción,flat,2,58.86,418509.0
La Foret - San Felipe (LF-1-AZ02),-12.082678,-77.0500825,Jesus Maria,En construcción,duplex,2,81.55,543109.0
Contisuyo (X01),-12.071500205312542,-77.09717999859889,San Miguel,En construcción,flat,3,77.0,504000.0
Contisuyo (X02),-12.071500205312542,-77.09717999859889,San Miguel,En construcción,flat,3,85.0,548000.0
Contisuyo (X03),-12.071500205312542,-77.09717999859889,San Miguel,En construcción,flat,2,60.0,393000.0
Contisuyo (X04),-12.071500205312542,-77.09717999859889,San Miguel,En construcción,flat,3,69.0,423000.0
Contisuyo (XD803),-12.071500205312542,-77.09717999859889,San Miguel,En construcción,duplex,3,121.75,641000.0
