Latitude,Longitude,POI Type,POI Name
-12.09022713933101,-77.0819343247757,restaurant,Roky's
-12.09022713933101,-77.0819343247757,restaurant,Pollería El Corralito
-12.09022713933101,-77.0819343247757,fast_food,KFC
-12.09022713933101,-77.0819343247757,restaurant,Pizza Hut
-12.09022713933101,-77.0819343247757,restaurant,Puro Corazón
-12.09022713933101,-77.0819343247757,supermarket,Plaza Vea
-12.09022713933101,-77.0819343247757,restaurant,El caserito
-12.09022713933101,-77.0819343247757,restaurant,La gran pesca
-12.09022713933101,-77.0819343247757,restaurant,Pura Selva
-12.09022713933101,-77.0819343247757,restaurant,Restaurant Norteño
-12.09022713933101,-77.0819343247757,kindergarten,Institución educativa inicial Sol De Fatima
-12.09022713933101,-77.0819343247757,fast_food,La Casita de las Salchipapes
-12.09022713933101,-77.0819343247757,restaurant,Chifa Guo
-12.09022713933101,-77.0819343247757,restaurant,Chifa Chinito
-12.09022713933101,-77.0819343247757,pharmacy,Botica Mi Salud
-12.09022713933101,-77.0819343247757,restaurant,La Paila
-12.09022713933101,-77.0819343247757,pharmacy,Jean Farma
-12.09022713933101,-77.0819343247757,restaurant,Pedrito
-12.09022713933101,-77.0819343247757,restaurant,Cositas Ricas
-12.09022713933101,-77.0819343247757,restaurant,Minimarket Jenny
-12.09022713933101,-77.0819343247757,pharmacy,Inkafarma
-12.09022713933101,-77.0819343247757,kindergarten,Institución educativa inicial Lapiz Y Colores Iii
-12.09022713933101,-77.0819343247757,supermarket,Mass
-12.09022713933101,-77.0819343247757,pharmacy,Farmacom
-12.09022713933101,-77.0819343247757,restaurant,Gustitos de Mi Selva
-12.09022713933101,-77.0819343247757,pharmacy,Mifarma
-12.09022713933101,-77.0819343247757,restaurant,Chifa Man Heong
-12.09022713933101,-77.0819343247757,restaurant,Nombre no disponible
-12.09022713933101,-77.0819343247757,restaurant,Pizza Europea
-12.09022713933101,-77.0819343247757,restaurant,Koky's
-12.09022713933101,-77.0819343247757,pharmacy,Nombre no disponible
-12.09022713933101,-77.0819343247757,restaurant,Italo
-12.09022713933101,-77.0819343247757,clinic,Policlinico Santa María Magdalena
-12.09022713933101,-77.0819343247757,restaurant,Elite'ss
-12.09022713933101,-77.0819343247757,pharmacy,Salud Natural
-12.09022713933101,-77.0819343247757,restaurant,Estos Es Pez
-12.09022713933101,-77.0819343247757,pharmacy,Botica Salud
-12.09022713933101,-77.0819343247757,pharmacy,Mi Farma
-12.09022713933101,-77.0819343247757,clinic,Arcangel Consultorio Medico
-12.09022713933101,-77.0819343247757,pharmacy,Inkafarma
