Latitude,Longitude,Restaurants_Count,Restaurants_Lat,Restaurants_Lon,Fast Food_Count,Fast Food_Lat,Fast Food_Lon,Universities_Count,Universities_Lat,Universities_Lon,Schools_Count,Schools_Lat,Schools_Lon,Kindergartens_Count,Kindergartens_Lat,Kindergartens_Lon,Hospitals_Count,Hospitals_Lat,Hospitals_Lon,Pharmacies_Count,Pharmacies_Lat,Pharmacies_Lon,Clinics_Count,Clinics_Lat,Clinics_Lon,Malls_Count,Malls_Lat,Malls_Lon,Supermarkets_Count,Supermarkets_Lat,Supermarkets_Lon,Banks_Count,Banks_Lat,Banks_Lon,Fitness Centres_Count,Fitness Centres_Lat,Fitness Centres_Lon,Swimming Pools_Count,Swimming Pools_Lat,Swimming Pools_Lon,Parks_Count,Parks_Lat,Parks_Lon,Bus Stops_Count,Bus Stops_Lat,Bus Stops_Lon
-12.1159754,-76.9909747,23,-12.1220869,-76.9926445,2,-12.1131829,-76.9923021,0,0,0,8,-12.114195,-76.9864996,22,-12.1087882,-76.9855732,0,0,0,11,-12.1113803,-76.9891893,3,-12.1120682,-76.9890997,0,0,0,2,-12.111145,-76.9866226,9,-12.1120132,-76.9909475,0,0,0,0,0,0,0,0,0,12,-12.1114701,-76.9982688
-12.0897795,-77.02657649999999,68,-12.0888159,-77.0275443,4,-12.0942386,-77.0253448,0,0,0,12,-12.0853328,-77.030534,17,-12.08905,-77.02764,0,0,0,19,-12.0967601,-77.0233281,4,-12.082536,-77.0233183,0,0,0,3,-12.0967852,-77.0230856,26,-12.0930391,-77.0334285,0,0,0,0,0,0,0,0,0,35,-12.0824136,-77.0265799
-12.078970115666072,-77.0451503940812,68,-12.0789386,-77.0490825,9,-12.0726808,-77.050183,1,-12.0721191,-77.0435112,27,-12.07593,-77.04146,27,-12.0768349,-77.0453794,1,-12.071483,-77.0498354,30,-12.0869422,-77.0422038,8,-12.0772823,-77.0384851,1,-12.0759995,-77.0499813,1,-12.074458,-77.0492501,15,-12.0739331,-77.0486323,2,-12.0735357,-77.0505589,0,0,0,0,0,0,8,-12.075003,-77.0459627
-12.1195549,-77.0041086,27,-12.1279766,-77.0011381,4,-12.1115881,-77.0064683,0,0,0,17,-12.1230955,-77.0054741,35,-12.1230225,-77.0055278,0,0,0,19,-12.1114743,-77.0019579,5,-12.1277091,-77.0076635,0,0,0,0,0.0,0.0,8,-12.1270283,-77.0021101,1,-12.1208161,-77.0108291,0,0,0,0,0,0,11,-12.11324,-77.0000684
-12.076928,-77.0549693,50,-12.0719005,-77.062038,9,-12.0726808,-77.050183,1,-12.0850544,-77.0547538,31,-12.06975,-77.05008,43,-12.0708383,-77.0555813,1,-12.071483,-77.0498354,24,-12.0714221,-77.0617858,5,-12.0780341,-77.0535756,1,-12.0759995,-77.0499813,1,-12.074458,-77.0492501,10,-12.0739331,-77.0486323,3,-12.0735357,-77.0505589,0,0,0,0,0,0,17,-12.0752312,-77.0460968
-12.079547136588465,-77.10609539017598,5,-12.0789013,-77.1076297,0,0.0,0.0,0,0,0,16,-12.0794409,-77.1041442,30,-12.0781729,-77.1040987,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,-12.0750473,-77.0990943,0,0,0,1,-12.0717656,-77.110588,0,0,0,8,-12.0764284,-77.1126149
-12.0758939,-77.03461109999999,60,-12.0789883,-77.0289479,2,-12.081223,-77.0336972,2,-12.0743421,-77.0358044,33,-12.07593,-77.04146,17,-12.0715836,-77.0392941,0,0,0,24,-12.074159,-77.0416889,8,-12.0772823,-77.0384851,0,0,0,3,-12.0817726,-77.0357032,20,-12.0736876,-77.0388046,0,0,0,0,0,0,0,0,0,26,-12.0722032,-77.0281492
-12.106246107262274,-77.03081131426016,55,-12.1106769,-77.0374559,8,-12.1101729,-77.037532,0,0,0,10,-12.1143685,-77.0277215,25,-12.1140892,-77.0328161,0,0,0,16,-12.1097862,-77.0389009,4,-12.102643,-77.03747,0,0,0,2,-12.1081486,-77.0248539,16,-12.1065672,-77.0391485,1,-12.1086541,-77.0353541,0,0,0,0,0,0,18,-12.1117939,-77.0333181
-12.0330855,-77.0495877,8,-12.0246852,-77.0517101,0,0.0,0.0,0,0,0,40,-12.0247279,-77.0505659,48,-12.0347703,-77.0555316,0,0,0,2,-12.0252805,-77.0524493,2,-12.0377921,-77.054784,1,-12.0338958,-77.0426388,1,-12.0307442,-77.0499572,6,-12.0333696,-77.0427032,0,0,0,0,0,0,0,0,0,7,-12.0295698,-77.0442306
-12.0908465,-77.0292675,79,-12.0888159,-77.0275443,4,-12.0942386,-77.0253448,0,0,0,14,-12.08363,-77.03354,15,-12.08905,-77.02764,0,0,0,26,-12.0967601,-77.0233281,2,-12.0930776,-77.0239592,0,0,0,3,-12.0967852,-77.0230856,29,-12.0930391,-77.0334285,0,0,0,0,0,0,1,-12.0918441,-77.0366333,37,-12.0824136,-77.0265799
-12.12737784085293,-77.01825836016292,45,-12.1287093,-77.026562,5,-12.1296658,-77.0245217,0,0,0,10,-12.1214959,-77.0247565,20,-12.124262,-77.0198657,0,0,0,15,-12.1335541,-77.0177295,2,-12.1200016,-77.0180729,0,0,0,3,-12.1295635,-77.0223023,12,-12.125732,-77.0204333,1,-12.1294765,-77.0220782,0,0,0,0,0,0,14,-12.1279188,-77.0268176
-12.1293067,-76.9856602,30,-12.1299062,-76.9830927,1,-12.1311626,-76.9831667,0,0,0,10,-12.1247948,-76.9791983,22,-12.1245,-76.9806,0,0,0,15,-12.1328643,-76.9832416,4,-12.1303693,-76.9810708,0,0,0,1,-12.1211489,-76.9878078,10,-12.1269113,-76.9876531,0,0,0,0,0,0,0,0,0,8,-12.1308471,-76.9790837
-12.12495086848081,-77.02245205033186,150,-12.1324083,-77.0265949,23,-12.1194011,-77.029408,0,0,0,14,-12.1214959,-77.0247565,20,-12.124262,-77.0198657,0,0,0,18,-12.1214201,-77.0289043,3,-12.1245663,-77.0300016,4,-12.1205523,-77.0278645,6,-12.1295635,-77.0223023,23,-12.1200842,-77.0298172,4,-12.1294765,-77.0220782,0,0,0,0,0,0,22,-12.1245747,-77.0296068
-12.081937885215352,-77.10400013326037,5,-12.0789013,-77.1076297,0,0.0,0.0,0,0,0,17,-12.0794409,-77.1041442,36,-12.0781729,-77.1040987,0,0,0,0,0.0,0.0,1,-12.0842417,-77.0964206,0,0,0,0,0.0,0.0,1,-12.0750473,-77.0990943,0,0,0,0,0,0,0,0,0,4,-12.0771091,-77.1106704
-12.1246371,-76.9865786,29,-12.1299062,-76.9830927,1,-12.1311626,-76.9831667,0,0,0,6,-12.1247948,-76.9791983,26,-12.1245,-76.9806,0,0,0,16,-12.1328643,-76.9832416,4,-12.1303693,-76.9810708,0,0,0,1,-12.1211489,-76.9878078,10,-12.1269113,-76.9876531,0,0,0,0,0,0,0,0,0,1,-12.131549,-76.9823994
-12.0953578,-77.0536753,18,-12.0971335,-77.0587922,6,-12.1032157,-77.0517325,0,0,0,8,-12.0887162,-77.0562002,26,-12.094089,-77.059542,1,-12.0877134,-77.0546996,15,-12.093552,-77.05765,2,-12.0878251,-77.0550691,0,0,0,4,-12.0898564,-77.0522111,20,-12.1040203,-77.0527368,0,0,0,0,0,0,0,0,0,10,-12.0948824,-77.0543695
-12.093442,-76.9926012,10,-12.0956932,-76.9950519,0,0.0,0.0,0,0,0,13,-12.0961651,-76.9992792,25,-12.0942,-76.9887055,0,0,0,6,-12.090537,-76.9958715,4,-12.0870065,-76.9869837,0,0,0,1,-12.097334,-76.9947601,5,-12.1003441,-76.9885668,0,0,0,0,0,0,0,0,0,16,-12.087423,-76.996905
-12.1226615,-76.9811656,22,-12.1299062,-76.9830927,3,-12.1311626,-76.9831667,0,0,0,6,-12.1210993,-76.9749047,24,-12.1245,-76.9806,0,0,0,15,-12.1296603,-76.9815569,3,-12.1303693,-76.9810708,0,0,0,5,-12.1268803,-76.9752005,12,-12.120817,-76.977274,0,0,0,0,0,0,0,0,0,7,-12.1226371,-76.9768759
-12.0841535,-77.0496504,52,-12.0926921,-77.0469339,6,-12.0757071,-77.0527747,1,-12.0850544,-77.0547538,19,-12.081111,-77.0541973,38,-12.0891,-77.05389,1,-12.0877134,-77.0546996,19,-12.0916614,-77.0540635,7,-12.0780341,-77.0535756,1,-12.0759995,-77.0499813,3,-12.0898564,-77.0522111,16,-12.0898493,-77.0520036,0,0,0,0,0,0,0,0,0,8,-12.0789129,-77.0571038
-12.094271240466412,-77.06998772114542,45,-12.090518,-77.064758,2,-12.0922554,-77.0705553,0,0,0,25,-12.0943056,-77.0727782,32,-12.0863895,-77.067,0,0,0,16,-12.0913769,-77.0645055,5,-12.0920779,-77.0742757,1,-12.0893545,-77.073731,1,-12.0895002,-77.0752343,8,-12.089293,-77.072632,0,0,0,0,0,0,0,0,0,7,-12.0973026,-77.0742795
-12.1225475,-77.0239038,182,-12.1197949,-77.0295882,31,-12.1194011,-77.029408,0,0,0,18,-12.1214959,-77.0247565,16,-12.1222026,-77.0327536,0,0,0,26,-12.1214201,-77.0289043,6,-12.1245663,-77.0300016,5,-12.1229297,-77.0322474,6,-12.1295635,-77.0223023,26,-12.1200842,-77.0298172,6,-12.1294765,-77.0220782,0,0,0,0,0,0,24,-12.1245747,-77.0296068
-12.0896074,-77.04695,26,-12.0926921,-77.0469339,3,-12.0841471,-77.0513927,1,-12.0850544,-77.0547538,12,-12.0830568,-77.0421147,27,-12.0891,-77.05389,1,-12.0877134,-77.0546996,15,-12.0916614,-77.0540635,6,-12.0860358,-77.0543377,0,0,0,3,-12.0898564,-77.0522111,19,-12.0898493,-77.0520036,0,0,0,0,0,0,0,0,0,18,-12.0948824,-77.0543695
-12.125733337745602,-77.02700591773834,203,-12.1324083,-77.0265949,33,-12.1194011,-77.029408,0,0,0,11,-12.1214959,-77.0247565,14,-12.1222026,-77.0327536,0,0,0,23,-12.1214201,-77.0289043,3,-12.1245663,-77.0300016,5,-12.1229297,-77.0322474,7,-12.1295635,-77.0223023,25,-12.1200842,-77.0298172,6,-12.1294765,-77.0220782,0,0,0,0,0,0,32,-12.1245747,-77.0296068
-12.1289619,-77.0340605,132,-12.1324083,-77.0265949,22,-12.1207589,-77.0302869,0,0,0,7,-12.1253402,-77.0296176,5,-12.1222026,-77.0327536,0,0,0,8,-12.1244626,-77.0289199,1,-12.1245663,-77.0300016,2,-12.1229297,-77.0322474,4,-12.1314014,-77.0313593,14,-12.1285133,-77.0295427,5,-12.1229593,-77.028622,0,0,0,0,0,0,18,-12.1245747,-77.0296068
-12.0701717,-76.9644935,17,-12.0757605,-76.9640883,1,-12.0775299,-76.9650706,0,0,0,8,-12.064489,-76.968799,20,-12.0666,-76.9585,0,0,0,5,-12.0689645,-76.9582171,1,-12.0727079,-76.9650376,0,0,0,2,-12.0665131,-76.9593179,8,-12.0683806,-76.9586198,0,0,0,1,-12.0753529,-76.9593789,0,0,0,8,-12.0645824,-76.9710797
-12.119704734211034,-76.9757078477669,5,-12.1257932,-76.982366,2,-12.1264897,-76.9749102,0,0,0,5,-12.1210993,-76.9749047,23,-12.1138,-76.9689,0,0,0,3,-12.126472,-76.9751492,0,0.0,0.0,0,0,0,4,-12.1268803,-76.9752005,2,-12.120817,-76.977274,0,0,0,0,0,0,0,0,0,5,-12.1226371,-76.9768759
-12.155204766412842,-77.01627910137177,33,-12.1481755,-77.0211407,4,-12.1498172,-77.0218249,0,0,0,11,-12.1509513,-77.021239,22,-12.1503878,-77.0206362,0,0,0,4,-12.1490432,-77.0208849,0,0.0,0.0,0,0,0,3,-12.1561759,-77.0151089,1,-12.1514141,-77.020332,0,0,0,0,0,0,0,0,0,5,-12.1597668,-77.0189703
-12.015767270231956,-77.04267954839453,10,-12.0150713,-77.0513373,0,0.0,0.0,0,0,0,4,-12.0168111,-77.047694,4,-12.0168111,-77.0476946,0,0,0,1,-12.0169957,-77.0418672,1,-12.0115908,-77.048973,0,0,0,1,-12.0170137,-77.0417758,0,0.0,0.0,1,-12.0221934,-77.0477045,0,0,0,0,0,0,2,-12.0174523,-77.0515435
-12.075326942193248,-77.07395068908144,48,-12.0703723,-77.0795643,9,-12.0713547,-77.0806746,1,-12.0800353,-77.0717016,13,-12.07602,-77.0777,27,-12.069133,-77.0755091,0,0,0,12,-12.0744512,-77.0795726,3,-12.0799935,-77.0801214,0,0,0,3,-12.0728734,-77.0655359,8,-12.0695449,-77.07954,0,0,0,0,0,0,0,0,0,21,-12.0819133,-77.070975
-12.1322314,-77.0173808,31,-12.1286328,-77.0203271,6,-12.1296658,-77.0245217,0,0,0,12,-12.1235041,-77.0153415,22,-12.124262,-77.0198657,0,0,0,12,-12.1335541,-77.0177295,0,0.0,0.0,1,-12.1366496,-77.017692,4,-12.1295635,-77.0223023,7,-12.125732,-77.0204333,1,-12.1294765,-77.0220782,0,0,0,0,0,0,15,-12.1389092,-77.0225007
-12.0904655,-77.03665360000001,94,-12.0897136,-77.0285299,4,-12.0972315,-77.036005,0,0,0,19,-12.08363,-77.03354,19,-12.08905,-77.02764,0,0,0,34,-12.0856343,-77.0347222,1,-12.095712,-77.0429328,0,0,0,2,-12.0817726,-77.0357032,18,-12.082449,-77.035805,0,0,0,0,0,0,1,-12.0918441,-77.0366333,38,-12.0866627,-77.0342726
-12.1216006,-77.0205299,114,-12.1194195,-77.0287035,17,-12.1194011,-77.029408,0,0,0,16,-12.1214959,-77.0247565,25,-12.124262,-77.0198657,0,0,0,24,-12.1214201,-77.0289043,5,-12.1200016,-77.0180729,4,-12.1205523,-77.0278645,2,-12.1295635,-77.0223023,21,-12.1238847,-77.0291879,5,-12.1294765,-77.0220782,0,0,0,0,0,0,16,-12.1279188,-77.0268176
-12.082678,-77.0500825,55,-12.0789386,-77.0490825,7,-12.0757071,-77.0527747,1,-12.0850544,-77.0547538,24,-12.07486,-77.05383,38,-12.0891,-77.05389,1,-12.0877134,-77.0546996,23,-12.0869422,-77.0422038,7,-12.0780341,-77.0535756,1,-12.0759995,-77.0499813,4,-12.0898564,-77.0522111,18,-12.0739331,-77.0486323,0,0,0,0,0,0,0,0,0,14,-12.075003,-77.0459627
