index,latitud,longitud,distrito,etapa,tipo,dormitorios,area,precio,Restaurants_Count,Fast Food_Count,Universities_Count,Schools_Count,Kindergartens_Count,Hospitals_Count,Pharmacies_Count,Clinics_Count,Malls_Count,Supermarkets_Count,Banks_Count,Fitness Centres_Count,Swimming Pools_Count,Parks_Count,Bus Stops_Count,Restaurants_dist,Fast Food_dist,Universities_dist,Schools_dist,Kindergartens_dist,Hospitals_dist,Pharmacies_dist,Clinics_dist,Malls_dist,Supermarkets_dist,Banks_dist,Fitness Centres_dist,Swimming Pools_dist,Parks_dist,Bus Stops_dist
ZENHAUS (Tipo 4),-12.0897795,-77.02657649999999,Lince,Entrega inmediata,flat,3,71.12,531000.0,69,4,0,12,17,0,18,4,0,3,26,0,0,0,35,0.15017811263282252,0.5135963998942785,,0.6554670898956424,0.14124778763685356,,0.8527841018355392,0.8799078018362111,,0.8665455082872605,0.828494025809764,,,,0.8190507936001867
NUOVA VITA (101),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,2,68.8,529000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
NUOVA VITA (102),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,79.93,614000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
NUOVA VITA (103),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,129.05,894000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
NUOVA VITA (104),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,134.95,924000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
NUOVA VITA (X01),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,76.13,552000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
NUOVA VITA (X02),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,2,61.0,472000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
NUOVA VITA (X03),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,76.84,552000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
NUOVA VITA (X04),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,70.6,521000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
NUOVA VITA (X05),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,flat,3,70.6,521000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
NUOVA VITA (701),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,duplex,3,148.36,999000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
NUOVA VITA (702),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,duplex,3,131.95,949000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
NUOVA VITA (703),-12.078970115666072,-77.0451503940812,Jesus Maria,En planos,duplex,3,147.68,999000.0,68,9,1,27,27,1,30,8,1,1,15,2,0,0,8,0.42756438639948013,0.8879882170077121,0.7823713111706128,0.5246832333958164,0.23872733896536277,0.9760205098811492,0.9425768931562335,0.748646062821206,0.6205086442562899,0.6711518847150805,0.6760479901451719,0.8432098818309441,,,0.44987882624508224
