link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,areas_comunes,tipo,dormitorios,area,precio
https://urbania.pe/inmueble/proyecto/ememefin-proyecto-villa-magnolia-san-miguel-san-miguel-caliza-inmobiliaria-sac-90232091,CALIZA INMOBILIARIA S.A.C.,-12.090227139331010,-77.081934324775690,"Jr. Alfonso Ugarte & Jr. Arica, San Miguel, San Miguel, San Miguel","San Miguel, San Miguel",En construcción,2° trimestre 2025,"['Ascensor\nArea de lavandería\nParrilla\nAreas verdes', 'Ver más']",flat,"<selenium.webdriver.remote.webelement.WebElement (session=""c64b894be3ab9698ccca706ab0846f30"", element=""f.87CF423BD881DD6036D63F98C3FB9D77.d.AEFD7EC38853ADF6FC415B8E2270CA31.e.77"")>","<selenium.webdriver.remote.webelement.WebElement (session=""c64b894be3ab9698ccca706ab0846f30"", element=""f.87CF423BD881DD6036D63F98C3FB9D77.d.AEFD7EC38853ADF6FC415B8E2270CA31.e.75"")>","<selenium.webdriver.remote.webelement.WebElement (session=""c64b894be3ab9698ccca706ab0846f30"", element=""f.87CF423BD881DD6036D63F98C3FB9D77.d.AEFD7EC38853ADF6FC415B8E2270CA31.e.74"")>"
https://urbania.pe/inmueble/proyecto/ememhvin-proyecto-mum-363-lima-magdalena-tale-inmobiliaria-142452411,Tale Inmobiliaria,-12.094988100000000,-77.055272800000000,"Av Javier Prado Oeste 2291, Magdalena del Mar, Magdalena, Lima","Magdalena, Lima",En planos,Diciembre 2026,[],flat,"<selenium.webdriver.remote.webelement.WebElement (session=""833ccbdaf396201b6d5408a05f508e1f"", element=""f.94ADD4380356362A0971FBBF9639664B.d.E1AB957FC576107A30FCA61F66DC5B1F.e.70"")>","<selenium.webdriver.remote.webelement.WebElement (session=""833ccbdaf396201b6d5408a05f508e1f"", element=""f.94ADD4380356362A0971FBBF9639664B.d.E1AB957FC576107A30FCA61F66DC5B1F.e.68"")>","<selenium.webdriver.remote.webelement.WebElement (session=""833ccbdaf396201b6d5408a05f508e1f"", element=""f.94ADD4380356362A0971FBBF9639664B.d.E1AB957FC576107A30FCA61F66DC5B1F.e.67"")>"
https://urbania.pe/inmueble/proyecto/ememvein-proyecto-amaranta-lima-pueblo-libre-abril-grupo-inmobiliario-66908976,ABRIL GRUPO INMOBILIARIO,-12.072055700000000,-77.062881900000000,"Avenida Simón Bolívar 959, Pueblo Libre, Lima","Pueblo Libre, Lima",En construcción,Enero 2026,"['Areas verdes', 'Número de pisos: 22\nCerca a Parque (a menos de 2 cdras)']",flat,"<selenium.webdriver.remote.webelement.WebElement (session=""595b65263f27174541d3de87934faa73"", element=""f.642B24537EC6629B1A5893A2DC0227FD.d.10FDBC75343CBFC63F636702FC2E0B92.e.72"")>","<selenium.webdriver.remote.webelement.WebElement (session=""595b65263f27174541d3de87934faa73"", element=""f.642B24537EC6629B1A5893A2DC0227FD.d.10FDBC75343CBFC63F636702FC2E0B92.e.70"")>","<selenium.webdriver.remote.webelement.WebElement (session=""595b65263f27174541d3de87934faa73"", element=""f.642B24537EC6629B1A5893A2DC0227FD.d.10FDBC75343CBFC63F636702FC2E0B92.e.69"")>"
https://urbania.pe/inmueble/proyecto/ememhvin-proyecto-torre-tale-primavera-lima-san-borja-tale-inmobiliaria-4533401,Tale Inmobiliaria,-12.111062422876804,-76.994078392868050,"Av. San Luis esquina Av. Angamos Este, esquina Av. Géminis, esquina Jr. Pablo Usandizaga, San Borja, Lima","San Borja, Lima",En planos,Marzo 2027,"['Piscina\nGimnasio\nJuegos infantiles\nParrilla', 'Ver más']",flat,"<selenium.webdriver.remote.webelement.WebElement (session=""2b4cd55f58af5b0ed99b9c088c7f79a7"", element=""f.8DB7710FD36FEA77ED7E998214423937.d.8932A8ECE2FE18C1552DAF545C4C0910.e.68"")>","<selenium.webdriver.remote.webelement.WebElement (session=""bd2e720a9ee608085e4a9b466044a3e5"", element=""f.675B948E3FFBA6E9A0B0AF3AE308AD60.d.614F0FBE886AE5FD77A87DE0F208A8DF.e.70"")>","<selenium.webdriver.remote.webelement.WebElement (session=""bd2e720a9ee608085e4a9b466044a3e5"", element=""f.675B948E3FFBA6E9A0B0AF3AE308AD60.d.614F0FBE886AE5FD77A87DE0F208A8DF.e.69"")>"
https://urbania.pe/inmueble/proyecto/ememvein-proyecto-aramburu-living-san-isidro-limatambo-grupo-tyc-143188173,GRUPO TYC,-12.102394000000000,-77.024831700000000,"Av. Aramburú 535. San Isidro, Limatambo, San Isidro","Limatambo, San Isidro",En planos,Abril 2027,['Número de pisos: 22\nCerca a Parque (a menos de 2 cdras)'],flat,"<selenium.webdriver.remote.webelement.WebElement (session=""ccb116ec83005f09e2c688659be95a09"", element=""f.2308E16655DCF41088D2AD74E5EFBEB3.d.B5EFB40AA983DAA8DBE9C2359627F7EF.e.96"")>","<selenium.webdriver.remote.webelement.WebElement (session=""ccb116ec83005f09e2c688659be95a09"", element=""f.2308E16655DCF41088D2AD74E5EFBEB3.d.B5EFB40AA983DAA8DBE9C2359627F7EF.e.94"")>","<selenium.webdriver.remote.webelement.WebElement (session=""ccb116ec83005f09e2c688659be95a09"", element=""f.2308E16655DCF41088D2AD74E5EFBEB3.d.B5EFB40AA983DAA8DBE9C2359627F7EF.e.93"")>"
https://urbania.pe/inmueble/proyecto/ememvein-proyecto-schell-lima-miraflores-inversiones-volterra-61210702,INVERSIONES VOLTERRA,-12.123349000000000,-77.027296000000000,"Esquina de Schell con Grimaldo del Solar, Miraflores, Lima","Miraflores, Lima",En construcción,Junio 2025,"['Areas verdes', 'Número de pisos: 11\nNo. de edificios que conforman el proyecto: 1\nNo. departamentos por piso: 9', 'Ver más']",flat,"<selenium.webdriver.remote.webelement.WebElement (session=""539412f11a910a21fc4f9e4930912fd1"", element=""f.7E8578BC71559544D7F851A55CA8269A.d.FC878A9A6EC27AFB05A9B348E69D74F0.e.75"")>","<selenium.webdriver.remote.webelement.WebElement (session=""2013140e77743c0a7d5438840008e705"", element=""f.3CF8A8692AE1F15250A7EABA10D0F4DD.d.C5F2D7C5C0C741DF318F0EA0016F41A8.e.72"")>","<selenium.webdriver.remote.webelement.WebElement (session=""2013140e77743c0a7d5438840008e705"", element=""f.3CF8A8692AE1F15250A7EABA10D0F4DD.d.C5F2D7C5C0C741DF318F0EA0016F41A8.e.71"")>"
https://urbania.pe/inmueble/proyecto/ememefin-proyecto-salaverry-571-lima-jesus-maria-desarrolladora-del-pacifico-4000088,DESARROLLADORA DEL PACÍFICO,-12.070543300000000,-77.040403300000000,"Avenida General Felipe Salaverry 571 , Jesús María, Lima","Jesus Maria, Lima",En construcción,sin fecha_entrega,[],flat,"<selenium.webdriver.remote.webelement.WebElement (session=""b800303a3bc4375f3fb2a29eeaaff49d"", element=""f.7434F76C60BBA97518C90923EE1B63D5.d.538489D3747E799B3DB35B860716D91A.e.91"")>","<selenium.webdriver.remote.webelement.WebElement (session=""b800303a3bc4375f3fb2a29eeaaff49d"", element=""f.7434F76C60BBA97518C90923EE1B63D5.d.538489D3747E799B3DB35B860716D91A.e.89"")>","<selenium.webdriver.remote.webelement.WebElement (session=""b800303a3bc4375f3fb2a29eeaaff49d"", element=""f.7434F76C60BBA97518C90923EE1B63D5.d.538489D3747E799B3DB35B860716D91A.e.88"")>"
https://urbania.pe/inmueble/proyecto/ememhvin-proyecto-preventa-edificio-las-moras-la-castellana-surco-santiago-de-surco-la-castellana-vartel-constructora-inmobiliaria-143719713,VARTEL CONSTRUCTORA INMOBILIARIA,-12.132489400000000,-77.001292200000000,"Calle Alcalá 468, Urb. Residencial La Castellana, distrito de Santiago de Surco, La Castellana, Santiago de Surco","La Castellana, Santiago de Surco",En planos,Octubre 2025,"['Ascensor\nFrente a Parque', 'Centros Comerciales Cercanos\nCerca a colegios', 'Ver más']",duplex,"<selenium.webdriver.remote.webelement.WebElement (session=""4aaacbe543af3ccc086eb3d2c3175b3a"", element=""f.1087D2FC65EB100CCC5F6F7D5F00330E.d.346DAC57FE18971CF706DF7E2E1F2100.e.94"")>","<selenium.webdriver.remote.webelement.WebElement (session=""4aaacbe543af3ccc086eb3d2c3175b3a"", element=""f.1087D2FC65EB100CCC5F6F7D5F00330E.d.346DAC57FE18971CF706DF7E2E1F2100.e.92"")>","<selenium.webdriver.remote.webelement.WebElement (session=""4aaacbe543af3ccc086eb3d2c3175b3a"", element=""f.1087D2FC65EB100CCC5F6F7D5F00330E.d.346DAC57FE18971CF706DF7E2E1F2100.e.91"")>"
https://urbania.pe/inmueble/proyecto/ememvein-proyecto-lanzamiento:-green-living-miraflores:-desde-us$1-772-m-sup2--1-2-y-3-dorm-miraflores-leuro-thunderbird-hoteles-las-americas-60363750,THUNDERBIRD HOTELES LAS AMERICAS,-12.124613200000000,-77.027525500000000,"Av. Benavides esquina con Alcanfores , Leuro, Miraflores","Leuro, Miraflores",En planos,Diciembre 2025,"['Ascensor\nArea de lavandería\nGimnasio\nParrilla', 'Ver más']",duplex,"<selenium.webdriver.remote.webelement.WebElement (session=""bb2a09ab4e36fbf262227b43c6daac9b"", element=""f.14AF2B96E91FE1FDD57540A1E8E63237.d.D3B410A5067AEB63B88019316A0FA8A2.e.73"")>","<selenium.webdriver.remote.webelement.WebElement (session=""bb2a09ab4e36fbf262227b43c6daac9b"", element=""f.14AF2B96E91FE1FDD57540A1E8E63237.d.D3B410A5067AEB63B88019316A0FA8A2.e.71"")>","<selenium.webdriver.remote.webelement.WebElement (session=""bb2a09ab4e36fbf262227b43c6daac9b"", element=""f.14AF2B96E91FE1FDD57540A1E8E63237.d.D3B410A5067AEB63B88019316A0FA8A2.e.70"")>"
https://urbania.pe/inmueble/proyecto/ememvein-proyecto-nueva-aurora-3-surquillo-barrio-medico-vienna-constructores-4388456,VIENNA CONSTRUCTORES,-12.117758800000000,-77.014137499999990,"Av. Sergio Bernales 460, Barrio Medico, Surquillo","Barrio Medico, Surquillo",En construcción,Noviembre 2024,['Número de pisos: 18\nNo. de edificios que conforman el proyecto: 1\nNo. departamentos por piso: 4'],flat,"<selenium.webdriver.remote.webelement.WebElement (session=""900d69bedf3abd3eba89e750993f8787"", element=""f.A66B52493F4F8312DD4222A9E545B585.d.809FBC19F845F8821ACFF574C36DC9D8.e.35"")>","<selenium.webdriver.remote.webelement.WebElement (session=""900d69bedf3abd3eba89e750993f8787"", element=""f.A66B52493F4F8312DD4222A9E545B585.d.809FBC19F845F8821ACFF574C36DC9D8.e.33"")>","<selenium.webdriver.remote.webelement.WebElement (session=""900d69bedf3abd3eba89e750993f8787"", element=""f.A66B52493F4F8312DD4222A9E545B585.d.809FBC19F845F8821ACFF574C36DC9D8.e.32"")>"
https://urbania.pe/inmueble/proyecto/ememvein-proyecto-privia-jesus-maria-santa-beatriz-vienna-constructores-4388466,VIENNA CONSTRUCTORES,-12.071201400000000,-77.037722100000000,"Av. Arenales 680, Santa Beatriz, Jesús María","Santa Beatriz, Jesus Maria",Entrega inmediata,Inmediata,['Número de pisos: 17\nNo. de edificios que conforman el proyecto: 1\nNo. departamentos por piso: 5'],flat,"<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.74"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.72"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.71"")>"
https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-isidro-lima-3-dormitorios-90883967,sin referencia,-12.098653162118955,-77.058372750926180,No especificada,"San Isidro, Lima",sin estado,sin fecha_entrega,"['Características generales\nServicios\nAmbientes', 'Ascensor : 1\nTerraza\nBaño de servicio : 1\nCuartos de servicio\nSeguridad\nCentros Comerciales Cercanos\nCerca a colegios\nReposteros en cocina\nIntercomunicador\nRecepción\nCerca a Parque (a menos de 2 cdras)\nCloset\nCocina']",flat,"<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.74"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.72"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.71"")>"
https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-san-borja-lima-3-dormitorios-143760725,sin referencia,-12.108098600000000,-76.984634100000000,No especificada,"San Borja, Lima",sin estado,sin fecha_entrega,"['Características generales\nServicios\nAmbientes\nExteriores', 'Ascensor : 1\nPortero Eléctrico\nPiscina\nTerraza\nBaño de servicio : 1\nCuartos de servicio\nSeguridad\nCentros Comerciales Cercanos\nCerca a colegios\nMascotas\nReposteros en cocina\nPiso en el que se encuentra : 1\nIntercomunicador\nRecepción\nCerca a Parque (a menos de 2 cdras)\nCloset\nWalk in closet\nTipo de Cochera : Lineales\nCocina']",flat,"<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.74"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.72"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.71"")>"
https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-barranco-lima-1-dormitorio-143078251,sin referencia,-12.151239399999999,-77.022014400000003,No especificada,"Barranco, Lima",sin estado,sin fecha_entrega,"['Características generales\nServicios\nExteriores', 'Amueblado/a\nTerraza\nMascotas\nNúmero de pisos : 1']",flat,"<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.74"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.72"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.71"")>"
https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-magdalena-lima-2-dormitorios-144369740,sin referencia,-12.097421600000000,-77.070457599999997,No especificada,"Magdalena, Lima",sin estado,sin fecha_entrega,"['Características generales\nServicios\nExteriores', 'Ascensor : 1\nSeguridad\nMascotas\nNúmero de pisos : 1\nRecepción']",flat,"<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.74"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.72"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.71"")>"
https://urbania.pe/inmueble/clasificado/veclapin-venta-de-departamento-en-aurora-miraflores-3-dormitorios-144222966,sin referencia,-12.116740000000000,-77.012108499999996,No especificada,"Aurora, Miraflores",sin estado,sin fecha_entrega,"['Características generales\nServicios\nExteriores', 'Ascensor : 1\nTerraza\nBaño de servicio : 1\nCuartos de servicio\nSeguridad\nMascotas\nNúmero de pisos : 2\nWalk in closet']",flat,"<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.74"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.72"")>","<selenium.webdriver.remote.webelement.WebElement (session=""e53a737bf9d50ade036822332931e652"", element=""f.C9FF120FA90D2DB2688D31C5D303C9FE.d.4C7875F935AE9D35500A0AEB9D7009CF.e.71"")>"
